id, weight, smallpalettecoloritem_id, bigpalettecoloritem_id
1,1,2,1
2,0.813559322,4,3
3,0.8846153846,6,5
4,0.7711864407,4,7
5,0.8461538462,9,8
6,1,11,10
7,0.6610169492,4,12
8,0.6666666667,14,13
9,0.6458333333,14,15
10,0.7796610169,4,16
11,0.75,18,17
12,0.8076923077,9,19
13,0.625,21,20
14,0.6153846154,9,22
15,0.9166666667,11,23
16,0.9285714286,2,24
17,0.8559322034,4,25
18,0.5,2,26
19,0.8305084746,4,27
20,0.7,29,28
21,0.525,29,30
22,0.5576923077,32,31
23,0.5384615385,6,33
24,0.75,35,34
25,0.625,14,36
26,0.75,14,37
27,0.6694915254,4,38
28,0.725,29,39
29,0.5833333333,11,40
30,0.7692307692,9,41
31,0.8728813559,4,42
32,0.6428571429,2,43
33,0.5,32,44
34,0.7692307692,6,45
35,0.8846153846,32,46
36,0.9423076923,32,47
37,0.5714285714,2,48
38,0.8644067797,4,49
39,0.7142857143,2,50
40,0.8220338983,4,51
41,0.8,29,52
42,0.6153846154,6,53
43,0.75,32,54
44,0.5454545455,35,55
45,0.55,29,56
46,0.6779661017,4,57
47,0.7708333333,14,58
48,0.7916666667,14,59
49,0.6525423729,4,60
50,0.7307692308,9,61
51,0.675,29,62
52,0.5,11,63
53,0.5416666667,21,64
54,0.8333333333,11,65
55,0.686440678,4,66
56,0.6666666667,21,67
57,0.875,21,68
58,0.5909090909,35,69
59,0.593220339,4,70
60,0.7291666667,14,71
61,0.5208333333,14,72
62,0.8125,14,73
63,0.75,11,74
64,0.7884615385,32,75
65,0.6590909091,35,76
66,0.8076923077,32,77
67,0.5084745763,4,78
68,0.6949152542,4,79
69,0.825,29,80
70,0.9491525424,4,81
71,0.9661016949,4,82
72,0.925,29,83
73,0.6136363636,35,84
74,0.9615384615,32,85
75,0.5847457627,4,86
76,0.5192307692,32,87
77,0.9576271186,4,88
78,0.9322033898,4,89
79,0.7083333333,21,90
80,0.9166666667,21,91
81,0.6818181818,35,92
82,0.6016949153,4,93
83,0.6041666667,14,94
84,0.8541666667,14,95
85,0.8269230769,32,96
86,0.7033898305,4,97
87,0.7692307692,32,98
88,0.5,18,99
89,0.8409090909,35,100
90,0.95,29,101
91,0.7272727273,35,102
92,0.7118644068,4,103
93,1,29,104
94,0.5,9,105
95,0.5227272727,35,106
96,0.75,21,107
97,0.5423728814,4,108
98,0.5169491525,4,109
99,0.8333333333,14,110
100,0.5833333333,21,111
101,0.6875,14,112
102,0.6666666667,11,113
103,0.9090909091,35,114
104,0.875,14,115
105,1,117,116
106,1,32,118
107,0.9545454545,35,119
108,0.5384615385,32,120
109,1,4,121
110,0.6538461538,6,122
111,0.8050847458,4,123
112,0.7307692308,6,124
113,0.6101694915,4,125
114,1,9,126
115,0.6923076923,6,127
116,0.5,14,128
117,0.7083333333,14,129
118,0.575,29,130
119,0.6186440678,4,131
120,0.5416666667,14,132
121,0.6538461538,9,133
122,0.5593220339,4,134
123,0.9230769231,9,135
124,0.9406779661,4,136
125,0.5769230769,32,137
126,0.7203389831,4,138
127,0.5,6,139
128,0.5,35,140
129,0.8389830508,4,141
130,0.7727272727,35,142
131,0.7288135593,4,143
132,0.6153846154,32,144
133,0.5625,14,145
134,1,14,146
135,0.9230769231,6,147
136,0.775,29,148
137,0.8846153846,9,149
138,0.5762711864,4,150
139,0.7857142857,2,151
140,0.9830508475,4,152
141,0.6538461538,32,153
142,0.7881355932,4,154
143,0.9038461538,32,155
144,0.9230769231,32,156
145,0.7966101695,4,157
146,0.8571428571,2,158
147,0.9915254237,4,159
148,0.6346153846,32,160
149,0.5961538462,32,161
150,0.8983050847,4,162
151,0.7045454545,35,163
152,0.7372881356,4,164
153,0.7307692308,32,165
154,0.5833333333,14,166
155,0.6,29,167
156,0.8958333333,14,168
157,0.8461538462,6,169
158,0.6271186441,4,170
159,0.75,29,171
160,0.9615384615,9,172
161,0.5677966102,4,173
162,0.6923076923,9,174
163,0.7916666667,21,175
164,0.625,29,176
165,0.9583333333,21,177
166,0.85,29,178
167,0.6440677966,4,179
168,1,6,180
169,0.9166666667,14,181
170,1,18,182
171,0.5384615385,9,183
172,0.7457627119,4,184
173,0.8461538462,32,185
174,0.7954545455,35,186
175,0.8898305085,4,187
176,0.6923076923,32,188
177,0.8181818182,35,189
178,0.9745762712,4,190
179,0.7542372881,4,191
180,0.906779661,4,192
181,0.9807692308,32,193
182,0.5681818182,35,194
183,0.8813559322,4,195
184,0.9318181818,35,196
185,0.9237288136,4,197
186,0.9152542373,4,198
187,0.8333333333,21,199
188,1,21,200
189,0.9,29,201
190,0.9615384615,6,202
191,0.9375,14,203
192,0.5,29,204
193,0.8636363636,35,205
194,0.6730769231,32,206
195,0.7627118644,4,207
196,0.5338983051,4,208
197,0.7115384615,32,209
198,0.6355932203,4,210
199,0.8474576271,4,211
200,0.5254237288,4,212
201,0.8863636364,35,213
202,0.8076923077,6,214
203,0.875,29,215
204,0.5,21,216
205,0.65,29,217
206,0.5769230769,6,218
207,0.5508474576,4,219
208,0.5769230769,9,220
209,0.5,4,221
210,0.9791666667,14,222
211,0.975,29,223
212,0.6363636364,35,224
213,0.9583333333,14,225
214,1,35,226
215,0.8653846154,32,227
216,0.9772727273,35,228
